,Unnamed: 0,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
3829,3829,2023,Beijing,37.0,19.0,28.6,38.0,19.0,29.0,64.4,58.4,0.0,0,0.0,,0.0,0.0,22.4,11.2,192.3,1000.7,44.8,7.0,334.8,29.0,10,10.0,2023-06-27T04:47:44,2023-06-27T19:47:05,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
1599,1599,2017,Beijing,37.0,21.9,29.2,36.2,21.9,29.4,16.5,49.6,0.0,0,0.0,,,,39.6,23.5,174.4,1006.3,37.3,8.3,237.1,20.6,6,,2017-05-19T04:56:14,2017-05-19T19:26:07,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2363,2363,2019,Beijing,37.0,19.0,28.4,35.3,19.0,27.8,13.1,43.3,0.0,0,0.0,,0.0,0.0,32.4,18.0,192.7,1008.7,25.0,11.8,331.6,28.7,9,,2019-06-22T04:46:13,2019-06-22T19:46:27,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
1977,1977,2018,Beijing,37.0,16.0,27.3,34.2,16.0,26.2,7.7,36.1,0.0,0,0.0,,0.0,0.0,43.2,21.6,202.2,1012.6,38.2,11.1,339.4,29.4,10,,2018-06-01T04:48:15,2018-06-01T19:36:34,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
1271,1271,2016,Beijing,36.8,17.0,28.9,34.6,17.0,27.9,9.6,32.9,0.0,0,0.0,,,,32.4,18.0,1.5,1006.5,34.4,12.1,339.7,29.4,10,,2016-06-25T04:47:14,2016-06-25T19:46:56,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3092,3092,2021,Beijing,36.7,17.0,29.0,34.2,17.0,27.6,43.7,27.3,0.0,0,0.0,,0.0,0.0,29.1,8.9,207.4,999.5,25.2,7.9,347.4,30.1,10,,2021-06-20T04:45:56,2021-06-20T19:46:10,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
2771,2771,2020,Beijing,36.6,22.0,29.4,37.2,22.0,30.4,19.4,60.4,0.0,0,0.0,,0.0,0.0,25.7,21.6,292.7,1000.2,30.2,12.4,302.6,26.0,9,,2020-08-03T05:14:54,2020-08-03T19:25:48,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
2395,2395,2019,Beijing,36.5,26.0,31.0,41.9,26.0,35.7,24.0,68.6,0.0,0,0.0,,0.0,0.0,,18.0,237.4,999.6,36.2,8.7,275.4,23.7,7,,2019-07-24T05:05:15,2019-07-24T19:36:11,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3816,3816,2023,Beijing,36.4,20.0,28.3,35.3,20.0,28.1,59.0,48.3,0.0,0,0.0,,0.0,0.0,21.7,11.2,142.9,1003.9,28.7,6.9,342.5,29.8,10,10.0,2023-06-14T04:45:26,2023-06-14T19:44:03,0.86,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
184,184,2013,Beijing,36.2,23.0,28.7,37.5,23.0,29.1,18.2,56.4,0.0,0,0.0,,,,,21.6,2.0,993.9,49.1,23.0,266.1,23.0,8,,2013-07-04T04:51:05,2013-07-04T19:46:22,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
183,183,2013,Beijing,36.1,22.0,30.4,38.4,22.0,31.3,18.6,52.9,0.0,0,0.0,,,,39.6,21.6,334.9,995.1,43.3,26.3,339.5,29.3,10,,2013-07-03T04:50:32,2013-07-03T19:46:33,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
149,149,2013,Beijing,36.1,13.1,25.9,33.2,13.1,24.8,6.0,35.4,0.0,0,0.0,,,,46.8,32.4,215.8,1005.9,19.0,20.5,353.7,30.4,10,,2013-05-30T04:49:03,2013-05-30T19:35:15,0.67,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
3474,3474,2022,Beijing,36.0,21.0,29.1,38.9,21.0,30.7,69.8,66.7,0.0,0,0.0,,0.0,0.0,18.1,6.7,95.7,1001.2,4.4,7.3,344.9,29.9,10,10.0,2022-07-07T04:52:46,2022-07-07T19:45:43,0.25,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
